Distributors,Address,zipcode,lat,long,operating radius,operating districts,workforce,max_installations
FrigorTec GmbH,"88279 Amtzell, Germany",88279,47.71538925,9.761246295289354,,nan,60.0,1500.0
Rülke Kühlanlagen GmbH,"08056 Zwickau, Germany",8056,50.71011275612076,12.491740090283173,,nan,60.0,1500.0
Wärmetechnik Quedlinburg GmbH & Co. KG,"06484 Quedlinburg, Germany",6484,51.79354546325875,11.150819965996627,,nan,60.0,1500.0
Westfalia Wärmetechnik Heinrich Schröder GmbH,"32257 Bünde, Germany",32257,52.20012793998374,8.57368924864759,,nan,60.0,1500.0
Apollo Gößnitz GmbH,"04639 Gößnitz, Germany",4639,50.87855975866452,12.426716774937557,,nan,60.0,1500.0
Alfred Kaut GmbH & Co. Elektrizitäts Gesellschaft,"42277 Wuppertal, Germany",42277,51.282103758388864,7.220692893147858,,nan,60.0,1500.0
Otto Schatte GmbH,"23554 Lübeck, Germany",23554,53.883935679347715,10.674071860547306,150.0,23611;19069;20038;24534;23714;22844;24103;21039;24107;19273;17166;29614;25541;19065;18311,30.0,750.0
SCHRAG GmbH & CO. KG,"73061 Ebersbach an der Fils, Germany",73061,48.71097021082478,9.521930455839517,150.0,73430;21217;73033;70734;74405;70173;89168;70806;71543;71032;75172;72124;86609;74214;90599,30.0,750.0
BLOOM ENGINEERING EUROPA GmbH,"40549 Düsseldorf, Germany",40549,51.233057256001565,6.72012990351158,150.0,40210;47051;40699;42651;47798;42103;45403;34582;45127;45525;51371;41061;45879;41334;40667,30.0,750.0
Dr. Kurt Korsing GmbH & Co. KG,"50739 Köln-Bilderstöckchen, Germany",50739,50.978415590141296,6.927486903193077,150.0,51371;42799;40699;50667;42651;40210;42477;50126;42853;42103;53111;40667;34582;45525;47051,30.0,750.0
Ing. Carl Friedmann GmbH + Co. KG,"92637 Weiden, Germany",92637,49.6704287,12.166984528812986,150.0,92637;92681;91281;95100;92269;91257;92444;91249;95326;96268;90518;91126;90402;84066;84069,30.0,750.0
Kältetechnik aircool GmbH,"81829 Munich, Germany",81829,48.132017644922065,11.677867621221704,150.0,84405;83550;83527;80331;84072;84028;82131;85221;85077;84048;82110;83607;84140;82297;84489,30.0,750.0
SHK SYSTEM PLAN GmbH,"03044 Cottbus, Germany",3044,51.77722887218198,14.335299436424794,150.0,3042;3058;15230;12529;1945;14913;15236;2708;16225;10115;1454,30.0,750.0
SHL LEHMANN GmbH & CO KG,"72202 Nagold, Germany",72202,48.54347865,8.71973633066466,150.0,71032;72070;72202;71292;70173;72160;75172;70806;70734;76530;72124;68753;72336;76437;72172,30.0,750.0
A. Bernd Fronda Kälte Klima Schankanlagen und Großküchentechnik,"45659 Recklinghausen, Germany",45659,51.6022969690376,7.1901899538253895,150.0,44623;48249;44575;44135;45879;44787;46236;45127;44532;45525;45403;24576;48231;42103;48268,30.0,750.0
Abel Elektrotechnik GmbH & Co. KG,"84549 Engelsberg, Germany",84549,48.12969124999999,12.512000331248505,150.0,84489;84140;83527;84028;94032;84130;84405;83119;83317;94447;83550;84066;84072;94315;80331,30.0,750.0
ABR Erdwärme GmbH,"15738 Zeuthen, Germany",15738,52.349123358244285,13.62011752324731,150.0,15236;16225;10115;14461;15230;12529;14913;16515;14770;3042;3202;3058;14476;1945;16816,30.0,750.0
Ahrens Solartechnik GmbH & Co. KG,"31675 Bückeburg, Germany",31675,52.29280015,9.030864114045734,150.0,31542;27318;30159;32312;32049;31020;27211;33519;31008;29221;32105;27283;33311;27356;27749,30.0,750.0
Ahrensburger Zentralheizungsbau GmbH,"22926 Ahrensburg, Germany",22926,53.674296062149715,10.231113141386132,150.0,20038;22844;23611;19069;21039;24534;23714;19273;29614;24107;24103;19065;25541;21614;17166,30.0,750.0
aihtec SOLAR UG,"06110 Halle, Germany",6110,51.469438544819155,11.97198739660814,150.0,6366;6773;4425;6842;6120;4103;39175;6295;14476;39014;7743;7545;14913;3238;1445,30.0,750.0
ait-deutschland GmbH,"95359 Kasendorf, Germany",95359,50.04048915,11.344080993371318,150.0,95326;96268;7343;95100;96515;96145;92681;91332;91257;91052;92637;7318;96106;98693;91281,30.0,750.0
Alb Kältetechnik GmbH,"72336 Balingen, Germany",72336,48.265537174370785,8.862248307617705,150.0,72070;72336;72124;71032;72172;70173;78187;72160;72535;72202;73033;70734;70806;72419;78048,30.0,750.0
ALBAN technische Anlagen GmbH,"35321 Laubach, Germany",35321,50.5347468,9.01147172266039,150.0,35315;35305;34212;36037;35096;35037;36166;35510;36381;63065;35104;35576;61250;34454;60306,30.0,750.0
Alfons Weber GmbH,"40489 Düsseldorf, Germany",40489,51.316168450149505,6.7557082251316976,150.0,47051;45403;40210;45127;47798;46236;45879;40699;44575;42103;44787;42651;34582;46483;44623,30.0,750.0
Alois Mehlhart GmbH,"83209 Prien am Chiemsee, Germany",83209,47.8554814,12.380791069659253,150.0,83119;84489;83527;83550;84140;83317;84028;83607;84405;80331;94032;82057;84130;84072;94447,30.0,750.0
Alois Simon GmbH,"66424 Homburg, Germany",66424,49.323684325409424,7.334715405797603,150.0,66849;66869;18556;66386;54426;66484;66606;66111;67292;67098;66359;55232;67377;76829;54422,30.0,750.0
Aloys Steffes Sanitär-Installation GmbH,"53859 Niederkassel-Mondorf, Germany",53859,50.80803430735835,7.040302179608008,150.0,42799;53111;42477;51570;50667;51371;42651;40699;53545;42103;42853;40210;58507;50126;45525,30.0,750.0
Alternative Energie Mielke,"25358 Horst (Holstein), Germany",25358,53.810221578643805,9.620523350291313,150.0,22844;24107;24534;23714;20038;25541;23611;24103;24376;21039;19069;19273;25813;29614;19065,30.0,750.0
Alternative Technik Scherf GmbH,"03229 Altdöbern, Germany",3229,51.66249615,14.029420997980782,150.0,3058;3042;1945;12529;1454;14913;1067;3238;15236;15230;1445;16225;10115;1705;14461,30.0,750.0
Jan Anders Bad & Heizungsbau - Meisterbetrieb,"02956 Rietschen, Germany",2956,51.394180884409245,14.786110263054482,150.0,3058;3042;2708;1454;15230;1067;12529;1945;1445,30.0,750.0
Andre Weick Innovative Haus und Umwelttechnik GmbH,"69168 Wiesloch, Germany",69168,49.294623568255616,8.698198357308664,150.0,69115;64658;68526;69427;64625;68159;67105;64385;71543;76829;64319;74214;63785;74744;75172,30.0,750.0
Andreas Krüger GmbH,"78224 Singen, Germany",78224,47.76204189826086,8.853457189848971,150.0,72419;78187;78224;37434;88147;72336;72172;78048;72535;72124;79664;77781;72160;7919;57520,30.0,750.0
Andreas Rudolf Meisterbetrieb,"95445 Bayreuth, Germany",95445,49.95078262132679,11.558401273473525,150.0,95326;95100;92681;96268;92637;91257;91281;7343;96145;96515;90518;7554;91126;90402;91052,30.0,750.0
Anspach Sanitärservice,"56073 Koblenz, Germany",56073,50.344407753394925,7.5611418389302525,150.0,56203;56112;53545;6406;56472;35781;35576;65219;56170;57072;51570;53111;55218;53424;55430,30.0,750.0
API Energie- und Versorgungstechnik GmbH,"82166 Gräfelfing, Germany",82166,48.1221494,11.435932660256775,150.0,80331;85221;82110;84072;83550;82131;85077;84405;82297;86854;84028;85123;83527;82269;84048,30.0,750.0
APPEL GmbH,"69181 Leimen, Germany",69181,49.34496659356642,8.681438800283718,150.0,69115;64658;68526;69427;64625;64385;68159;67105;64319;71543;76829;63785;64521;74214;74744,30.0,750.0
Aqua-Solar,"64385 Reichelsheim, Germany",64385,49.70043805,8.84782296118301,150.0,64385;63785;64319;63739;64658;68159;69115;64625;35104;36381;64521;69427;97225;63065;65239,30.0,750.0
Aust + Hartmann GmbH & Co.KG,"23996 Niendorf, Germany",23996,53.773940703372325,11.463455579976376,150.0,17166;19069;18311;23611;20038;19065;17033;24534;23714;16866;22844;29439,30.0,750.0
Autenrieth + Wehner GmbH,"36037 Fulda, Germany",36037,50.55347859515582,9.679081172366187,150.0,36404;36037;36166;36452;97528;35315;36205;34212;98530;99100;97517;36381;98527;35104;6647,30.0,750.0
B. Hahn,"95119 Naila OT Marlesreuth, Germany",95119,50.32832285,11.69696878699962,150.0,7343;7554;96268;8056;95100;96515;95326;7318;7545;7607;96145;8280;4703;4600;7743,30.0,750.0
bad&heizung Griesche GmbH,"01558 Großenhain, Germany",1558,51.2901101,13.525065169942806,150.0,1945;3238;1454;1445;1067;12529;3058;1705;3042;14913;9028;4703;2708;4600;4425,30.0,750.0
Baldur Weid,"56479 Rehe/Westerwald, Germany",56479,50.61558265664086,8.044241900935656,150.0,57072;35576;35037;35781;6406;56203;35305;35096;57368;56472;34454;61250;65239;34431;35315,30.0,750.0
Beck GmbH & Co KG,"40721 Hilden, Germany",40721,51.16619285,6.914028880079641,150.0,42651;42103;40210;51371;45525;40699;42853;45403;45127;47051;34582;42799;44787;45879;47798,30.0,750.0
Becker GmbH,"67307 Göllheim, Germany",67307,49.59193913855156,8.048817187532437,150.0,55232;64521;67292;67098;68159;55218;64319;64625;65239;65219;66849;67105;18556;69115;76829,30.0,750.0
Beckers Regeltechnik GmbH,"47506 Neukirchen-Vluyn, Germany",47506,51.43527775,6.5506149917785335,150.0,46483;47051;47798;45403;46236;40210;44575;45879;25554;41334;45127;44787;44623;40699;34582,30.0,750.0
Beckmann GmbH,"24941 Flensburg, Germany",24941,54.77491915,9.387348411186212,150.0,24937;24376;24103;25813;24534;23714;24107;25541;23611,30.0,750.0
Berna Kühlanlagen GmbH,"08058 Zwickau, Germany",8058,50.75047053591186,12.482388505218001,150.0,4703;4600;9028;8056;7545;4103;8280;7554;7743;4425;1445;7607;1705;7343;1067,30.0,750.0
Bernd Elsner Sanitär & Heizungstechnik,"14774 Brandenburg an der Havel, Germany",14774,52.3974682685955,12.41637681802356,150.0,14770;14461;16816;14476;10115;16515;39014;15755;6842;14715;16225;6773;39175;15236;14913,30.0,750.0
Bernd Krämer Heizung-Elektro-Sanitär,"09116 Chemnitz, Germany",9116,50.82538849213916,12.874168235565287,150.0,9028;4703;1445;4600;8056;1705;8280;7545;1067;4103;4425;1454;3238;7554;7743,30.0,750.0
Bernhard Roll GmbH,"14167 Berlin, Germany",14167,52.42157845,13.27883356116847,150.0,10115;16225;14461;15236;16515;3202;14770;14913;15230;14476;17121;12529;16816;6842;3042,30.0,750.0
Bernhard Werner GmbH,"42327 Wuppertal, Germany",42327,51.242882880712784,7.074620620216511,150.0,42103;45525;42651;42853;44787;45127;45879;45403;24576;40210;46236;44575;44135;51371;44532,30.0,750.0
Berthold Herzog,"63814 Mainaschaff, Germany",63814,49.9998872,9.086395035109847,100.0,63739;35104;36381;63065;35510;60306;97225;63785;35315;65239,10.0,250.0
BERUS Energietechnik e.K.,"88069 Tettnang, Germany",88069,47.6545925,9.604272433657734,100.0,88147;7919;86498;72419;87448;87700;87435;72535;89231;86807,10.0,250.0
BEY ELMAR GmbH & CO. KG,"64319 Pfungstadt, Germany",64319,49.8024721,8.593209651944612,100.0,64319;64521;60306;65239;63065;63739;35104;68159;36381;35510,10.0,250.0
BIERTHER HEIZUNGSANLAGEN GmbH,"69126 Heidelberg, Germany",69126,49.376832133155354,8.690933393159426,100.0,69115;64658;68526;64385;69427;64625;64319;68159;67105;71543,10.0,250.0
Blaffert Heizsysteme GmbH,"39524 Schönhausen, Germany",39524,52.66909789367354,12.06694595277346,100.0,16816;14770;17033;14715;16515;39014;16866,10.0,250.0
Blatzheim & Sohn GmbH,"52372 Kreuzau, Germany",52372,50.7383479,6.479966746998315,100.0,50126;52349;51570;50667;53879;40667;41812;51371;42799;53111,10.0,250.0
"boden & grundwasser, Dr. Jörg Danzer Dipl. Geoökologe","87527 Sonthofen, Germany",87527,47.5055914,10.269482173899464,100.0,86807;87435;87448;87700;86498;82347;7919;87600;82269;88147,10.0,250.0
Böhm GmbH,"04416 Markkleeberg, Germany",4416,51.26845875,12.396545220727784,100.0,4425;4103;4600;3238;1445;6773;6366;9028;4703;7743,10.0,250.0
Börner + Co KG,"85053 Ingolstadt, Germany",85053,48.74609894429576,11.4513175550012,100.0,85049;84048;84069;85072;90602;85077;85123;84072;91249;91710,10.0,250.0
BRENNER GmbH - Beste Heizungs- & Elektro-Technologie,"71229 Leonberg - Höfingen, Germany",71229,48.78961225,9.000822581694354,100.0,70806;70173;75172;70734;71543;71032;71292;73033;21217;74214,10.0,250.0
Bruch Kälte und Klimatechnik,"42369 Wuppertal, Germany",42369,51.22652635526601,7.201824049011347,100.0,45525;42853;42103;42651;24576;44787;58507;44135;44532;45127,10.0,250.0
Budde GmbH und Co. KG,"30974 Wennigsen (Deister), Germany",30974,52.270714487314244,9.584112049333061,100.0,30159;29221;31224;31008;31020;31542;29365;27318;38226;38162,10.0,250.0
Bühr Lufttechnik GmbH,"70839 Gerlingen, Germany",70839,48.79815182162385,9.064921871079617,100.0,70806;70734;70173;75172;71543;21217;71032;74214;74405;73430,10.0,250.0
BURY Haustechnik GmbH,"79241 Ihringen, Germany",79241,48.04543276753025,7.655091221980764,100.0,79183;79098;79362;77652;79189;77781;79400;78048;72172;57520,10.0,250.0
Butscher GmbH,"87471 Durach, Germany",87471,47.69649335,10.366545555635087,100.0,87435;86807;87700;86498;87600;82347;82269;89231;86854;7919,10.0,250.0
caldoa GmbH,"88046 Friedrichshafen, Germany",88046,47.65969015,9.50416034702076,100.0,88147;7919;72419;72535;87448;86498;89231;78187;87700;87435,10.0,250.0
Christoph Rechkemmer GmbH,"66292 Riegelsberg, Germany",66292,49.30878835158418,6.935701052781655,100.0,54426;66111;66359;66606;66386;66869;66849;18556;66484;66663,10.0,250.0
Claus Grammerstorf Inh. Peter Marquardt e.K.,"23669 Timmendorfer Strand, Germany",23669,53.99101983547429,10.799882253241307,100.0,23611;19069;24103;20038;24534;23714,10.0,250.0
CLIVENT Umwelttechnik,"78166 Donaueschingen, Germany",78166,47.94686125,8.530789753575341,100.0,78187;72172;72336;72419;78048;78224;77781;79098;72160;37434,10.0,250.0
ColdTec Kälte-Klima-Wärmepumpentechnik GmbH,"32602 Vlotho, Germany",32602,52.15912859988332,8.849102153609751,100.0,31542;32049;27318;32312;33519;31020;30159;32105;27211;33311,10.0,250.0
Cooljoy GmbH & Co. KG,"51399 Burscheid, Germany",51399,51.09124785,7.11906295083898,100.0,42651;51371;42103;42853;40699;45525;42799;58507;50667;40210,10.0,250.0
COOLTHERM Kälteanlagen und Wärmepumpen GmbH,"63755 Alzenau, Germany",63755,50.08377305000001,9.07302251363447,100.0,36381;35104;63739;35510;63065;35315;60306;63785;97225;36037,10.0,250.0
Cramer Klimatechnik Inh. Dipl.-Ing. Heinz Herbert ScheiffarthHeinz-Herbert Scheiffarth,"42107 Wuppertal, Germany",42107,51.26420507080971,7.1543206181148316,100.0,45525;42103;42853;42651;24576;44135;44787;45127;44532;45879,10.0,250.0
Cube Ingenieurunion GmbH,"67549 Worms, Germany",67549,49.63883021667088,8.336991899502399,100.0,64521;64319;68159;64625;55232;65239;67105;69115;64658;76829,10.0,250.0
"Dages, Huber & Schildbach OHG","87675 Stötten a. Auerberg, Germany",87675,47.74177589999999,10.70083128089979,100.0,82347;87600;82269;87435;86807;86854;86150;82131;87700;86498,10.0,250.0
Daschner GmbH,"47169 Duisburg, Germany",47169,51.51206544329934,6.7614459075148305,100.0,46236;44575;45403;45879;47051;44623;45127;46483;44787;47798,10.0,250.0
DIAMANT Heiz- und Klimasysteme GmbH,"73635 Rudersberg, Germany",73635,48.88106605,9.53657935494483,100.0,74405;21217;73430;70734;73033;70173;74214;71543;89168;90599,10.0,250.0
Dipl.-Ing. (FH) Ingo Jürgena,"26639 Wiesmoor, Germany",26639,53.41439575,7.725996287431335,100.0,26316;22869;26409;26382;26160;26349;26121;26506;27749;27711,10.0,250.0
Dipl.-Ing. EDUARD JORDAN Haustechnik GmbH,"18211 Bargeshagen, Germany",18211,54.13205731766789,11.948914614596285,100.0,18311,10.0,250.0
Dipl.-Ing. Frank Günther e.K.,"21337 Lüneburg, Germany",21337,53.24793398061731,10.44020796972433,100.0,21039;19065;19273;29614;20038;19069;29439;29389;22844;16866,10.0,250.0
Dipl.-Ing.(FH) Karl Mayer GmbH,"54634 Bitburg, Germany",54634,49.968953218971436,6.528036193719653,100.0,53518;54636;54347;56253;6618;53879;54298;53424;55430;56170,10.0,250.0
Dirk Schmitz Heizungsbau & Sanitär,"53474 Bad Neuenahr-Ahrweiler, Germany",53474,50.54152349585169,7.120312435242091,100.0,51570;53545;53111;50667;42799;53424;42477;50126;56203;51371,10.0,250.0
Distelmaier GmbH,"22761 Hamburg, Germany",22761,53.56542158356,9.914004926078034,100.0,20038;22844;21039;24534;23714;19273;19069;23611;24107;29614,10.0,250.0
Dr. Stadtbäumer Baugrunduntersuchung GmbH,"85609 Aschheim b. München, Germany",85609,48.192658,11.71421219127192,100.0,84405;84072;84028;83550;83527;85221;80331;85077;84048;82110,10.0,250.0
DUDDA Energiesysteme Gmbh,"18258 Schwaan, Germany",18258,53.937002333328046,12.104252686969234,100.0,18311;17166,10.0,250.0
Dührkopp Haustechnik GmbH Co. KG,"14712 Rathenow, Germany",14712,52.611308221476,12.341515033460677,100.0,16816;14770;16515;14461;14476;14715;10115;17033,10.0,250.0
Ebert - Bau GmbH Neubau - Umbau - Sanierung,"17033 Neubrandenburg, Germany",17033,53.5452587986691,13.25045859027817,100.0,17121;3202;17033,10.0,250.0
Eichenauer Kälte- und Klimatechnik GmbH & Co. KG,"36367 Wartenberg - Angersbach, Germany",36367,50.62387105,9.45089905063308,100.0,36166;36037;36404;34212;35315;36452;97528;36205;34454;6647,10.0,250.0
EISEN FISCHER GmbH,"86720 Nördlingen, Germany",86720,48.8586179,10.495341998758175,100.0,91710;86609;90599;85072;86502;85123;89168;91126;73430;90402,10.0,250.0
ELBRA Elektrotechnik Bratschke GmbH,"42551 Velbert, Germany",42551,51.34330675251444,7.050640855991928,100.0,45127;44787;42103;45525;45879;45403;42853;42651;46236;44575,10.0,250.0
Elektro Fischer GmbH,"94152 Neuhaus – Reding, Germany",94152,48.4529484,13.410533506243578,100.0,94032;94065;84140;93471;94447;84489,10.0,250.0
Elektro Guggenmos GmbH & Co. KG,"87742 Dirlewang, Germany",87742,48.00695217922661,10.506959789663536,100.0,87600;86854;86150;87700;82269;86381;86498;82110;82297;82347,10.0,250.0
Elektro Halbach Heinz Halbach GmbH & Co. KG,"42369 Wuppertal, Germany",42369,51.22652635526601,7.201824049011347,100.0,,10.0,250.0
Elektro Haupenthal,"55776 Rohrbach, Germany",55776,49.584776751571425,7.242798585581299,100.0,18556;66869;55442;66849;55430;66606;6618;55218;67292;54347,10.0,250.0
Elektro Jost GmbH,"45289 Essen-Burgaltendorf, Germany",45289,51.416164930314636,7.111311750400403,100.0,44787;45879;45127;44135;46236;44575;44623;42103;45403;45525,10.0,250.0
Elektro Lübke KG,"24103 Kiel, Germany",24103,54.32284378477549,10.131450585349253,100.0,24103;24534;23714;23611;24107;24376;24937;22844,10.0,250.0
ELEKTRO Luckow & Söhne GmbH,"40721 Hilden, Germany",40721,51.16619285,6.914028880079641,100.0,,10.0,250.0
Elektro Riedel Inh. Frank Riedel,"30916 Isernhagen, Germany",30916,52.45406536126935,9.85708924550884,100.0,29221;29365;31224;30159;38023;38226;29389;29614;38162;31008,10.0,250.0
Elektro Roßwein GmbH,"04741 Roßwein, Germany",4741,51.0801062,13.186804630726021,100.0,1445;1067;3238;1705;1454;9028;4703;1945;4425;4600,10.0,250.0
ELEKTRO SCHNICKMANN GmbH,"51789 Lindlar-Hartegasse, Germany",51789,51.0233447902725,7.373047948725837,100.0,58507;42477;42853;57368;42799;45525;51371;24576;50667;42651,10.0,250.0
Elektro Zech GmbH,"87666 Pforzen, Germany",87666,47.9357322,10.611829457029227,100.0,87600;86854;82269;86150;87700;82347;87435;82110;82297;82131,10.0,250.0
