"Provider","Series","Efficiency index at 55°C","Efficiency index at 35°C","Efficiency class at 35°C","Efficiency class at 55°C","Type","Heat output W10/W35 (kW)","Heat output A2/W35 (kW)","Heat output B0/W35 (kW)","COP W10/W35","COP W10/W55","COP A2/W35","COP A7/W55","COP A-7/W55","COP B0/W35","COP B0/W55","Inverter technology","SCOP","Noise level external (dB)","Noise level inside (dB)","Refrigerant","Height inside (cm)","Width inside (cm)","Depth inside (cm)","Height outside (cm)","Width outside (cm)","Depth outside (cm)","EHPA or CH quality label","Link to manufacturer"
"Hoval AG","UltraSource T comfort (13)","217","313","A+++","A+++","water-water","8.7","","","6.8","3.9","","","","","","yes","8","","41","R410A","125","62","76","","","","CH-HP-00794","http://www.hoval.com"
"Hoval AG","UltraSource T compact (13/200)","217","313","A+++","A+++","water-water","8.7","","","6.8","3.9","","","","","","yes","8","","41","R410A","195","61","77","","","","CH-HP-00794","http://www.hoval.com"
"Hoval AG","UltraSource T comfort (17)","226","311","A+++","A+++","water-water","15.2","","","6.5","3.9","","","","","","yes","8","","44","R410A","125","62","76","","","","CH-HP-00793","http://www.hoval.com"
"Hoval AG","UltraSource T comfort (8)","245","309","A+++","A+++","water-water","5.6","","","6.5","3.6","","","","","","yes","7.9","","45","R410A","125","62","76","","","","CH-HP-00794","http://www.hoval.com"
"Hoval AG","UltraSource T compact (8/200)","245","309","A+++","A+++","water-water","5.6","","","6.5","3.6","","","","","","yes","7.9","","45","R410A","195","60","77","","","","CH-HP-00794","http://www.hoval.com"
"CTA AG","Optiheat Inverta OH I 9e","197","285","A+++","A+++","water-water","12","","","6.5","3.8","","","","","","yes","7.31","","33","R410A","126","53","70","","","","CH-HP-00639","http://www.cta.ch"
"CTA AG","Optiheat Inverta OH I 17e","197","283","A+++","A+++","water-water","22.4","","","6.5","3.6","","","","","","yes","7.27","","39","R410A","126","53","70","","","","CH-HP-00639","http://www.cta.ch"
"CTA AG","Optiheat Inverta TWW OH I 4esr TWW","182","277","A+++","A+++","water-water","5.2","","","6.3","3.5","","","","","","yes","7.12","","29","R410A","190","60","70","","","","CH-HP-00611","http://www.cta.ch"
"Swisstherm AG","BWI Geoline 7 Dynamic","179","268","A++","A++","earth-water","","","9","","","","","","4.61","2.91","yes","5.34","","44","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","BWI Geoline 7 Dynamic PC","179","268","A++","A++","earth-water","","","9","","","","","","4.61","2.91","yes","5.34","","44","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","BWI Geoline 12 Dynamic","182","266","A++","A++","earth-water","","","16","","","","","","4.63","2.88","yes","5.3","","46","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","BWI Geoline 12 Dynamic PC","182","266","A++","A++","earth-water","","","16","","","","","","4.63","2.88","yes","5.3","","46","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","BWI Geoline 18 Dynamic","181","264","A++","A++","earth-water","","","22","","","","","","4.63","2.84","yes","5.28","","48","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","BWI Geoline 18 Dynamic PC","181","264","A++","A++","earth-water","","","22","","","","","","4.63","2.84","yes","5.28","","48","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Buderus","WI 65TU","178","263","A+++","A++","water-water","68.9","","","6.2","3.7","","","","","","no","","","61","R410A","167","100","81","","","","CH-HP-00437","https://www.buderus.com"
"Buderus","WI 35TU","180","262","A+++","A+++","water-water","35.6","","","6.2","3.8","","","","","","no","","","57","R410A","89","100","81","","","","CH-HP-00437","https://www.buderus.com"
"CTA AG","Optiheat OH 22e DUO HT","173","260","A+++","A+++","water-water","27.5","","","6.2","3.7","","","","","","no","6.71","","35","R410A","124","118","76","","","","CH-HP-00550","http://www.cta.ch"
"Buderus","WI 14TU","170","260","A+++","A+++","water-water","13.3","","","6.1","3.3","","","","","","no","","","43","R410A","85","65","67","","","","CH-HP-00357","https://www.buderus.com"
"CTA AG","Optiheat OH 28e DUO HT","172","257","A+++","A+++","water-water","35.8","","","6.1","3.7","","","","","","no","6.62","","39","R410A","124","118","76","","","","CH-HP-00550","http://www.cta.ch"
"Hoval AG","Thermalia comfort (13)","181","255","A+++","A+++","water-water","17.5","","","6.28","3.76","","","","","","no","","","49","R410A","149","60","75","","","","CH-HP-00578","http://www.hoval.com"
"Ochsner Wärmepumpen GmbH","AQUA 22","159","253","A+++","A+++","water-water","22.1","","","5.9","3.32","","","","","","no","6.61","","49","R410A","129","60","68","","","","CH-HP-00614","https://www.ochsner.com"
"Ochsner Wärmepumpen GmbH","AQUA 17","159","250","A+++","A+++","water-water","16.6","","","5.93","3.33","","","","","","no","6.52","","47","R410A","129","60","68","","","","CH-HP-00614","https://www.ochsner.com"
"Hoval AG","Thermalia comfort H (10)","185","249","A+++","A+++","water-water","12.8","","","6","4.01","","","","","","no","","","50","R134a","149","60","75","","","","CH-HP-00580","http://www.hoval.com"
"Buderus","WI 10TU","163","248","A+++","A+++","water-water","9.6","","","5.9","3.2","","","","","","no","","","41","R410A","85","65","67","","","","CH-HP-00357","https://www.buderus.com"
"CTA AG","Optiheat OH 1-58e","169","246","A+++","A+++","water-water","77","","","6.2","3.7","","","","","","no","6.34","","55","R410A","124","118","76","","","","CH-HP-00473","http://www.cta.ch"
"Ochsner Wärmepumpen GmbH","AQUA 14","158","246","A+++","A+++","water-water","12.3","","","5.8","3.36","","","","","","no","6.43","","46","R410A","129","60","68","","","","CH-HP-00614","https://www.ochsner.com"
"Hoval AG","Thermalia comfort (10)","170","245","A+++","A+++","water-water","12.7","","","6.08","3.52","","","","","","no","","","48","R410A","149","60","75","","","","CH-HP-00578","http://www.hoval.com"
"CTA AG","Optiheat OH 34e DUO HT","164","244","A+++","A+++","water-water","46.5","","","5.9","3.6","","","","","","no","6.29","","42","R410A","124","118","76","","","","CH-HP-00550","http://www.cta.ch"
"CTA AG","Optiheat OH 1-11es","161","243","A+++","A+++","water-water","14.1","","","6.2","3.5","","","","","","no","6.29","","28","R410A","126","53","70","","","","CH-HP-00338","http://www.cta.ch"
"Buderus","WI 45TU","172","243","A+++","A+++","water-water","46.2","","","5.8","3.7","","","","","","no","","","58","R410A","89","100","81","","","","CH-HP-00437","https://www.buderus.com"
"Hoval AG","Thermalia comfort (17)","173","240","A+++","A+++","water-water","22.3","","","5.88","3.59","","","","","","no","","","50","R410A","149","60","75","","","","CH-HP-00578","http://www.hoval.com"
"CTA AG","Optiheat OH 1-8es","156","240","A+++","A+++","water-water","10.4","","","6.1","3.4","","","","","","no","6.2","","28","R410A","126","53","70","","","","CH-HP-00338","http://www.cta.ch"
"CTA AG","Optiheat OH 1-14es","160","240","A+++","A+++","water-water","18.4","","","6.1","3.5","","","","","","no","6.19","","32","R410A","126","53","70","","","","CH-HP-00338","http://www.cta.ch"
"CTA AG","Optiheat OH 1-50e","168","240","A+++","A+++","water-water","67","","","6.1","3.8","","","","","","no","6.2","","55","R410A","124","118","76","","","","CH-HP-00473","http://www.cta.ch"
"Buderus","WI 18TU","168","240","A+++","A+++","water-water","17.1","","","5.8","3.6","","","","","","no","","","44","R410A","85","65","67","","","","CH-HP-00357","https://www.buderus.com"
"Hoval AG","Thermalia comfort H (7)","177","238","A+++","A+++","water-water","9.1","","","5.9","3.97","","","","","","no","","","48","R134a","149","60","75","","","","CH-HP-00580","http://www.hoval.com"
"CTA AG","Optipro OP 100ed","187","238","A+++","A+++","water-water","129","","","5.9","3.7","","","","","","no","6.2","","59","R410A","198","126","86","","","","CH-HP-00957","http://www.cta.ch"
"CTA AG","Optipro OP 110ed","186","238","A+++","A+++","water-water","144","","","5.9","3.6","","","","","","no","6.2","","59","R410A","198","126","86","","","","CH-HP-00957","http://www.cta.ch"
"CTA AG","Optipro OP 130ed","186","238","A+++","A+++","water-water","163","","","5.9","3.9","","","","","","no","6.2","","57","R410A","198","126","86","","","","CH-HP-00957","http://www.cta.ch"
"CTA AG","Optiheat OH 1-65e","165","237","A+++","A+++","water-water","86","","","6","3.7","","","","","","no","6.13","","56","R410A","124","118","76","","","","CH-HP-00473","http://www.cta.ch"
"Buderus","WI 22TU","167","237","A+++","A+++","water-water","22.3","","","5.7","3.6","","","","","","no","","","47","R410A","85","65","67","","","","CH-HP-00357","https://www.buderus.com"
"CTA AG","Optipro OP 140ed","183","235","A+++","A+++","water-water","180","","","5.8","3.6","","","","","","no","6.1","","56","R410A","198","126","86","","","","CH-HP-00957","http://www.cta.ch"
"CTA AG","Optipro OP 160ed","179","235","A+++","A+++","water-water","205","","","5.8","3.6","","","","","","no","6.1","","56","R410A","198","126","86","","","","CH-HP-00957","http://www.cta.ch"
"CTA AG","Optipro OP 210ed","180","235","A+++","A+++","water-water","263","","","5.8","3.6","","","","","","no","6.1","","60","R410A","198","126","86","","","","CH-HP-00957","http://www.cta.ch"
"CTA AG","Optiheat OH 1-29e","161","233","A+++","A+++","water-water","37.9","","","5.9","3.7","","","","","","no","6.03","","44","R410A","126","53","70","","","","CH-HP-00502","http://www.cta.ch"
"CTA AG","Optiheat OH 1-44e","166","233","A+++","A+++","water-water","58","","","6","3.8","","","","","","no","6.01","","53","R410A","124","118","76","","","","CH-HP-00473","http://www.cta.ch"
"CTA AG","Optipro OP 180ed","178","232","A+++","A+++","water-water","230","","","5.8","3.6","","","","","","no","6","","58","R410A","198","126","86","","","","CH-HP-00957","http://www.cta.ch"
"Hoval AG","Thermalia comfort (8)","161","231","A+++","A+++","water-water","9.6","","","5.87","3.4","","","","","","no","","","47","R410A","149","60","75","","","","CH-HP-00578","http://www.hoval.com"
"CTA AG","Optipro OP 230ed","179","231","A+++","A+++","water-water","292","","","5.7","3.6","","","","","","no","6","","60","R410A","198","126","86","","","","CH-HP-00957","http://www.cta.ch"
"Hoval AG","Thermalia comfort (8)","161","231","A+++","A+++","earth-water","","","9.6","","","","","","5.87","3.4","no","","","44","R410A","149","60","75","","","","CH-HP-00578","http://www.hoval.ch"
"CTA AG","Optiheat OH 1-5es","152","229","A+++","A+++","water-water","6.7","","","5.8","3.4","","","","","","no","5.91","","24","R410A","126","53","70","","","","CH-HP-00338","http://www.cta.ch"
"CTA AG","Optiheat OH 1-25e","157","229","A+++","A+++","water-water","32.2","","","5.8","3.5","","","","","","no","5.92","","44","R410A","126","53","70","","","","CH-HP-00502","http://www.cta.ch"
"CTA AG","Optiheat OH 1-72e","163","229","A+++","A+++","water-water","97","","","5.9","3.7","","","","","","no","5.91","","57","R410A","124","118","76","","","","CH-HP-00473","http://www.cta.ch"
"CTA AG","Optiheat OH 1-33e","158","228","A+++","A+++","water-water","42.9","","","5.8","3.6","","","","","","no","5.91","","45","R410A","126","53","70","","","","CH-HP-00502","http://www.cta.ch"
"CTA AG","Optiheat OH 1-6es","151","227","A+++","A+++","water-water","7.9","","","5.8","3.3","","","","","","no","5.88","","24","R410A","126","53","70","","","","CH-HP-00338","http://www.cta.ch"
"CTA AG","Optiheat OH 1-18es","153","227","A+++","A+++","water-water","23.9","","","5.7","3.4","","","","","","no","5.87","","35","R410A","126","53","70","","","","CH-HP-00338","http://www.cta.ch"
"AerThermie","Eureka EU13L","180","227","A+++","A+++","air-water","","15","","","","5.05","3.71","2.59","","","yes","","44","","R290","","","","171","95","61","CH-HP-00978","http://www.aerthermie.ch"
"Hoval AG","UltraSource T comfort (17)","164","226","A+++","A+++","earth-water","","","11.4","","","","","","5.1","3","yes","5.9","","44","R410A","125","62","76","","","","CH-HP-00793","http://www.hoval.com"
"AerThermie","Eureka EU08L","179","226","A+++","A+++","air-water","","10.3","","","","5.19","3.55","2.55","","","yes","","42","","R290","","","","171","95","61","CH-HP-00977","http://www.aerthermie.ch"
"Hoval AG","Belaria pro (24)","165","225","A+++","A+++","air-water","","14.5","","","","4.9","3.5","2.4","","","yes","","58","","R290","101","55","28","146","193","100","CH-HP-01119","http://www.hoval.com"
"CTA AG","Optiheat OH 1-85e","161","223","A+++","A+++","water-water","113","","","5.8","3.7","","","","","","no","5.77","","58","R410A","124","118","76","","","","CH-HP-00473","http://www.cta.ch"
"Hoval AG","Belaria pro comfort (15)","161","220","A+++","A+++","air-water","","8.7","","","","4.7","3.9","2.6","","","yes","","50","","R290","101","55","28","143","158","79","CH-HP-00890","http://www.hoval.com"
"CTA AG","Optiheat OH 1-22e","155","218","A+++","A+++","water-water","28.1","","","5.7","3.5","","","","","","no","5.64","","42","R410A","126","53","70","","","","CH-HP-00502","http://www.cta.ch"
"Stiebel Eltron AG","WPE-I 44 H 400 Premium","168","218","A++","A++","earth-water","","","26.71","","","","","","5.81","","yes","5.65","","50","R410A","165","69","80","","","","CH-HP-00857","https://www.stiebel-eltron.ch"
"SOLTOP Energie AG","WPS 618","168","217","A+++","A+++","earth-water","","","15.8","","","","","","4.36","2.88","yes","5.51","","46","R410A","135","60","60","","","","CH-HP-00800","https://www.soltop-energie.ch/waermepumpen/"
"Stiebel Eltron AG","WPF 10","137","216","A++","A++","earth-water","","","10.31","","","","","","5.02","2.92","no","","","48","R410A","132","60","66","","","","CH-HP-00513","https://www.stiebel-eltron.ch"
"Ochsner Wärmepumpen GmbH","TERRA 11","137","216","A+++","A++","earth-water","","","10.3","","","","","","5.03","2.83","no","5.6","","48","R410A","129","60","68","","","","CH-HP-00624","https://www.ochsner.com"
"Stiebel Eltron AG","WPE-I 12 HK 230 Premium","167","216","A++","A++","earth-water","","","12.05","","","","","","4.6","3.13","yes","5.59","","39","R454C","140","60","66","","","","CH-HP-00930","https://www.stiebel-eltron.ch"
"SOLTOP Energie AG","WPS1052","157","214","A+++","A+++","earth-water","","","51.4","","","","","","4.34","2.9","yes","5.42","","55","R410a","147","60","65","","","","CH-HP-00999","https://www.soltop-energie.ch/waermepumpen/"
"Stiebel Eltron AG","WPE-I 33 H 400 Premium","159","214","A++","A++","earth-water","","","20.18","","","","","","4.73","","yes","5.55","","47","R410A","165","69","80","","","","CH-HP-00857","https://www.stiebel-eltron.ch"
"Buderus","WSW196i.2 3-12kW","159","214","A+++","A++","earth-water","","","12.53","","","","","","4.75","2.8","yes","5.85","","41","R410A","118","60","60","","","","CH-HP-00990","https://www.buderus.com"
"Ochsner Wärmepumpen GmbH","SWK007P8d","150","214","A+++","A+++","earth-water","","","6.9","","","","","","4.6","2.9","yes","5.56","","43","R410A","186","60","70","","","","CH-HP-01015","https://www.ochsner.com/de-ch/"
"SOLTOP Energie AG","WPLK 722","163","214","A+++","A+++","air-water","","21.8","","","","4.1","3.08","2.23","","","yes","","53","","R410a","","","","143","196","75","CH-HP-01039","https://www.soltop-energie.ch/waermepumpen/"
"Hoval AG","UltraSource T comfort (13)","162","213","A+++","A+++","earth-water","","","6.6","","","","","","5","3","yes","","","41","R410A","125","62","76","","","","CH-HP-00793","http://www.hoval.com"
"Hoval AG","UltraSource T compact (13/200)","162","213","A+++","A+++","earth-water","","","6.6","","","","","","5","3","yes","","","41","R410A","195","61","77","","","","CH-HP-00793","http://www.hoval.com"
"Buderus","SI 50TU","136","213","A+++","A++","earth-water","","","52","","","","","","5","2.8","no","","","61","R410A","167","100","81","","","","CH-HP-00436","https://www.buderus.com"
"CTA AG","Optiheat Inverta TWW OH I 4esr TWW","144","212","A+++","A++","earth-water","","","3.8","","","","","","4.7","2.7","yes","5.5","","29","R410A","190","60","70","","","","CH-HP-00792","http://www.cta.ch"
"Buderus","WSW196i.2 2-6kW","147","211","A+++","A++","earth-water","","","5.85","","","","","","4.61","2.81","yes","5.76","","36","R410A","118","60","60","","","","CH-HP-00990","https://www.buderus.com"
"AerThermie","NHWP06 S+","155","210","A+++","A+++","earth-water","","","10.4","","","","","","4.84","2.81","yes","5.33","","45","R410A","194","80","113","","","","CH-HP-00853","http://www.aerthermie.ch"
"AerThermie","NHWP12 S+","155","210","A+++","A+++","earth-water","","","15.7","","","","","","4.63","2.3","yes","5.33","","45","R410A","194","90","130","","","","CH-HP-00853","http://www.aerthermie.ch"
"Stiebel Eltron AG","WPE-I 15 HK 230 Premium","168","210","A++","A++","earth-water","","","13.47","","","","","","4.6","3.18","yes","5.44","","39","R454C","140","60","66","","","","CH-HP-00930","https://www.stiebel-eltron.ch"
"Hoval AG","UltraSource T comfort (8)","158","209","A+++","A+++","earth-water","","","4.1","","","","","","4.7","2.9","yes","5.4","","45","R410A","125","62","76","","","","CH-HP-00793","http://www.hoval.com"
"Hoval AG","UltraSource T compact (8/200)","158","209","A+++","A+++","earth-water","","","4.1","","","","","","4.7","2.9","yes","5.4","","45","R410A","195","60","77","","","","CH-HP-00793","http://www.hoval.com"
"Buderus","WPS 28.2 HT","158","208","A+++","A+++","earth-water","","","29.3","","","","","","4.57","3.04","no","5.5","","57","R410A","162","70","77","","","","CH-HP-00862","https://www.buderus.com"
"CTA AG","Optiheat Inverta OH I 9e","151","207","A+++","A+++","earth-water","","","8.8","","","","","","4.9","2.8","yes","5.4","","33","R410A","126","53","70","","","","CH-HP-00638","http://www.cta.ch"
"Buderus","WSW196i.2 2-8kW","152","207","A+++","A++","earth-water","","","7.61","","","","","","4.61","2.81","yes","5.7","","36","R410A","118","60","60","","","","CH-HP-00990","https://www.buderus.com"
"Buderus","WPS 22.2 HT","159","207","A+++","A+++","earth-water","","","22.9","","","","","","4.57","3.01","no","5.48","","56","R410A","162","70","77","","","","CH-HP-00862","https://www.buderus.com"
"CTA AG","Optiheat Inverta OH I 17e","149","206","A+++","A+++","earth-water","","","16.7","","","","","","4.9","2.8","yes","5.4","","39","R410A","126","53","70","","","","CH-HP-00638","http://www.cta.ch"
"Hoval AG","UltraSource B comfort C (17)","152","206","A+++","A+++","air-water","","11.3","","","","4.5","3.2","2.1","","","yes","","57","45","R410A","125","62","76","155","109","75","CH-HP-00795","http://www.hoval.com"
"Hoval AG","Belaria pro comfort (8)","153","206","A+++","A+++","air-water","","3.5","","","","4.6","2.65","1.81","","","yes","","46","","R290","101","55","28","95","158","79","CH-HP-00890","http://www.hoval.com"
"Hoval AG","Belaria pro compact (8/100/270)","153","206","A+++","A+++","air-water","","3.5","","","","4.6","2.65","1.81","","","yes","","46","","R290","193","79","79","95","158","79","CH-HP-00890","http://www.hoval.com"
"SOLTOP Energie AG","WPS 412","155","206","A+++","A+++","earth-water","","","10.6","","","","","","4.42","2.95","yes","5.29","","44","R410A","135","60","60","","","","CH-HP-00800","https://www.soltop-energie.ch/waermepumpen/"
"Buderus","SIK 11TES","142","206","A+++","A++","earth-water","","","10.6","","","","","","5","3.1","no","","","43","R410A","111","65","66","","","","CH-HP-00538","https://www.buderus.com"
"Buderus","WPS 54.2 HT","162","206","A+++","A+++","earth-water","","","54.94","","","","","","4.54","3.12","no","5.44","","67","R410A","94","145","75","","","","CH-HP-00863","https://www.buderus.com"
"Stiebel Eltron AG","WPF 05","134","205","A++","A++","earth-water","","","5.82","","","","","","4.79","2.81","no","","","43","R410A","132","60","66","","","","CH-HP-00513","https://www.stiebel-eltron.ch"
